ficheiro,instancia,n_rects,cobertura,n_target,ILP_partial_n,ILP_partial_ms,Greedy_MaxCov_n,Greedy_MaxCov_ms,Greedy_MaxCov_gap,Greedy_Grau_n,Greedy_Grau_ms,Greedy_Grau_gap,Greedy_Aleat_n,Greedy_Aleat_ms,Greedy_Aleat_gap
inst_small.txt,1,6,70,4,2,5.307,2,0.013,0,2,0.006,0,2,0.284,0
inst_small.txt,2,6,70,4,2,5.643,2,0.012,0,2,0.006,0,2,0.417,0
inst_small.txt,3,8,70,5,2,7.503,2,0.014,0,2,0.007,0,2,0.469,0
inst_small.txt,4,8,70,5,2,7.409,2,0.024,0,2,0.01,0,2,0.561,0
inst_small.txt,5,6,70,4,2,5.39,2,0.014,0,2,0.006,0,2,0.292,0
inst_small.txt,6,6,70,4,3,4.422,3,0.015,0,3,0.007,0,3,0.389,0
inst_small.txt,7,9,70,6,4,5.873,4,0.019,0,4,0.015,0,4,0.888,0
inst_small.txt,8,9,70,6,4,5.163,4,0.021,0,4,0.007,0,4,0.599,0
inst_small.txt,9,8,70,5,2,5.769,2,0.013,0,2,0.006,0,2,0.328,0
inst_small.txt,10,10,70,7,3,5.202,3,0.017,0,3,0.008,0,3,0.469,0
inst_small.txt,1,6,80,4,2,4.617,2,0.012,0,2,0.006,0,2,0.295,0
inst_small.txt,2,6,80,4,2,4.639,2,0.012,0,2,0.005,0,2,0.35,0
inst_small.txt,3,8,80,6,2,5.614,2,0.014,0,2,0.007,0,2,0.341,0
inst_small.txt,4,8,80,6,2,4.988,2,0.014,0,2,0.007,0,2,0.335,0
inst_small.txt,5,6,80,4,2,5.799,2,0.011,0,2,0.005,0,2,0.281,0
inst_small.txt,6,6,80,4,3,5.07,3,0.015,0,3,0.008,0,3,0.402,0
inst_small.txt,7,9,80,7,4,4.927,4,0.02,0,4,0.008,0,4,0.625,0
inst_small.txt,8,9,80,7,4,5.984,4,0.019,0,4,0.007,0,4,0.611,0
inst_small.txt,9,8,80,6,2,5.769,2,0.014,0,2,0.007,0,2,0.324,0
inst_small.txt,10,10,80,8,3,5.092,3,0.021,0,3,0.007,0,3,0.549,0
inst_1d.txt,1,5,70,3,2,5.253,2,0.011,0,2,0.006,0,2,0.239,0
inst_1d.txt,2,8,70,5,3,4.994,4,0.019,1,4,0.008,1,3,0.462,0
inst_1d.txt,3,10,70,7,4,5.07,5,0.024,1,6,0.01,2,4,0.816,0
inst_1d.txt,4,15,70,10,6,8.078,6,0.053,0,9,0.02,3,6,2.311,0
inst_1d.txt,5,20,70,14,8,8.382,8,0.082,0,13,0.025,5,8,4.106,0
inst_1d.txt,1,5,80,4,3,6.744,3,0.018,0,3,0.009,0,3,0.619,0
inst_1d.txt,2,8,80,6,4,7.666,4,0.026,0,5,0.012,1,4,1.037,0
inst_1d.txt,3,10,80,8,5,7.277,5,0.039,0,7,0.015,2,5,1.632,0
inst_1d.txt,4,15,80,12,7,8.668,7,0.066,0,11,0.02,4,7,3.024,0
inst_1d.txt,5,20,80,16,9,8.752,9,0.1,0,15,0.026,6,9,5.049,0
inst_grid.txt,1,4,70,2,1,6.643,1,0.009,0,1,0.006,0,1,0.187,0
inst_grid.txt,2,6,70,4,2,7.097,2,0.015,0,2,0.007,0,2,0.477,0
inst_grid.txt,3,9,70,6,4,6.491,4,0.035,0,4,0.01,0,4,0.999,0
inst_grid.txt,4,12,70,8,4,8.019,4,0.031,0,5,0.011,1,4,1.186,0
inst_grid.txt,5,16,70,11,4,6.896,4,0.046,0,7,0.015,3,4,1.629,0
inst_grid.txt,6,20,70,14,6,7.676,6,0.06,0,10,0.017,4,6,2.485,0
inst_grid.txt,1,4,80,3,1,6.022,1,0.011,0,1,0.007,0,1,0.235,0
inst_grid.txt,2,6,80,4,2,7.155,2,0.015,0,2,0.007,0,2,0.491,0
inst_grid.txt,3,9,80,7,4,5.174,4,0.029,0,4,0.012,0,4,0.658,0
inst_grid.txt,4,12,80,9,4,5.215,4,0.026,0,5,0.008,1,4,0.76,0
inst_grid.txt,5,16,80,12,4,5.66,4,0.033,0,8,0.01,4,4,1.199,0
inst_grid.txt,6,20,80,16,6,4.991,6,0.043,0,10,0.012,4,6,1.624,0
inst_adversarial.txt,1,6,70,4,2,5.299,3,0.023,1,3,0.006,1,2,0.399,0
inst_adversarial.txt,2,8,70,5,3,4.977,3,0.016,0,4,0.008,1,3,0.475,0
inst_adversarial.txt,3,10,70,7,4,4.661,4,0.022,0,6,0.009,2,4,0.726,0
inst_adversarial.txt,4,12,70,8,4,6.396,5,0.041,1,7,0.014,3,4,1.07,0
inst_adversarial.txt,5,9,70,6,4,5.341,4,0.021,0,4,0.007,0,4,0.648,0
inst_adversarial.txt,6,16,70,11,4,7.153,4,0.031,0,7,0.01,3,4,1.068,0
inst_adversarial.txt,7,25,70,17,8,7.943,8,0.058,0,12,0.019,4,8,3.721,0
inst_adversarial.txt,8,36,70,25,8,8.986,9,0.133,1,16,0.026,8,8,6.293,0
inst_adversarial.txt,1,6,80,4,2,10.354,3,0.021,1,3,0.01,1,2,0.545,0
inst_adversarial.txt,2,8,80,6,3,10.203,4,0.028,1,5,0.011,2,3,0.889,0
inst_adversarial.txt,3,10,80,8,4,6.836,5,0.043,1,7,0.014,3,4,1.647,0
inst_adversarial.txt,4,12,80,9,5,9.762,5,0.033,0,8,0.011,3,5,2.565,0
inst_adversarial.txt,5,9,80,7,4,9.253,4,0.022,0,4,0.007,0,4,0.888,0
inst_adversarial.txt,6,16,80,12,4,10.849,4,0.045,0,8,0.014,4,4,1.439,0
inst_adversarial.txt,7,25,80,20,8,5.818,8,0.096,0,12,0.023,4,8,3.742,0
inst_adversarial.txt,8,36,80,28,9,6.718,10,0.102,1,19,0.019,10,9,4.59,0
